step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
10,agent_5,0.454,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.4003,0.2242,10,0.5309
10,agent_6,0.438,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3348,0.2532,10,0.4319
10,agent_7,0.4506,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3384,0.2512,10,0.4251
10,agent_8,0.4333,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3195,0.2588,10,0.4084
10,agent_9,0.4436,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3677,0.2395,10,0.4849
10,agent_10,0.4557,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3638,0.2318,10,0.4565
10,agent_11,0.4573,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3215,0.2628,10,0.3929
10,agent_12,0.4588,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3453,0.234,10,0.4149
10,,,,0.0,,{'bike': 12},,,,,
11,agent_1,0.4417,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,walk,0.3306,0.269,11,0.4345
11,agent_2,0.4329,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3321,0.2484,11,0.4262
11,agent_3,0.4312,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3031,0.269,11,0.3845
11,agent_4,0.4205,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,walk,0.3389,0.2654,11,0.4706
11,agent_5,0.4493,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3669,0.226,11,0.4639
11,agent_6,0.4375,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3112,0.2604,11,0.3874
